text,label,meta,context,source,target
"On April 19, Boko Haram fighters torched a village elsewhere in Cameroon's Far North Region, killing 11 civilians in their sleep.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=727,,Boko Haram fighters,village elsewhere in Cameroon's Far North Region
"Russia launched cyber attacks on the government websites of Georgia in 2008, a move which coincided with military operations in the breakaway province of South Ossetia.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=730,,Russia,government websites of Georgia
"The hostilities began on Friday, when the Iranian-backed Palestinian Islamic Jihad (PIJ) organization launched a sniper attack on Israel Defense Forces' Personnel, wounding an officer.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=732,,Iranian-backed Palestinian Islamic Jihad (PIJ) organization,Israel Defense Forces' Personnel
TEL AVIV-- Israeli Prime Minister Benjamin Netanyahu ordered massive attacks on the Gaza Strip Sunday as some of the worst fighting in months jeopardized cease-fire talks.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=736,,Israeli Prime Minister Benjamin Netanyahu,Gaza Strip
"Iraqi warplanes attacked an Daesh explosives factory and other positions inside Syria on Thursday, Baghdad's military said, in a rare air assault across the border.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=764,,Iraqi warplanes,Daesh explosives factory and other positions inside Syria
A group of Saudi hackers launched cyber attacks on a number of Iranian government websites in May.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=767,,group of Saudi hackers,Iranian government websites
"A Chadian armed group attacked a military camp of forces loyal to General Khalifa Haftar in southern Libya on Thursday, killing one and injuring 13 others, a local official said.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=769,,Chadian armed group,military camp of forces loyal to General Khalifa Haftar in southern Libya
"Taliban fighters overran an army base in northern Afghanistan, officials said Tuesday, killing at least 17 soldiers with dozens feared captured in a stinging blow to security forces already struggling to push insurgents from eastern Ghazni.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=770,,Taliban fighters,army base in northern Afghanistan
Iraqi forces have launched further airstrikes on ISIL fighters still holding out in Mosul's Old City.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=774,,Iraqi forces,ISIL fighters
"Only weeks before his address, the Israeli army launched a military assault on Lebanon that in just over a month left more than 1,000 civilians dead, ravaged villages and destroyed key infrastructure.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=811,,Israeli army,Lebanon
In recent months Syria and Israel have fired across the ceasefire line and violated agreements regulating the force limitation zones.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=816,,Syria,Israel
The March 17 explosion that leveled the building in the district of New Mosul killed more than 100 people as Iraqi forces were battling Islamic State group militants in the area.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=819,,March 17 explosion,district of New Mosul
"Meanwhile, Syrian government warplanes supported by Russia pounded the rebel-held enclave of eastern Ghouta for a sixth straight day Friday, killing at least five people, opposition activists and a war monitor reported.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=850,,Syrian government warplanes supported by Russia,rebel-held enclave of eastern Ghouta
"The Islamic State attacked an army camp in western Kabul, the seventh major attack in the country this month.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=860,,Islamic State,army camp
"The Syrian army on Thursday intensified its bombardment of a besieged Palestinian neighborhood and nearby rebel-held areas in southern Damascus, the last area near the capital outside government control.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=863,,Syrian army,besieged Palestinian neighborhood and nearby rebel-held areas in southern Damascus
"KABUL: The Taliban ambushed a police convoy in western Afghanistan, killing seven security forces, an official said Saturday.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=869,,Taliban,police convoy in western Afghanistan
"In November, the Egyptian affiliate of the Islamic State launched a brazen attack in which nearly 40 gunmen stormed the al-Rawdah mosque in Egypt's sparsely populated Sinai, killing more than 300 worshippers.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=885,,Egyptian affiliate of the Islamic State,al-Rawdah mosque in Egypt's sparsely populated Sinai
"On October 14, the Taliban attacked an army base in western Afghanistan, killing 17 Afghan soldiers.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=902,,Taliban,army base in western Afghanistan
"Between December and February, the Sudanese Government imposed blockades in some parts of west Darfur that prevented humanitarian agencies from providing lifesaving assistance to those in need.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=922,,Sudanese Government,some parts of west Darfur
"Taliban fighters seized a house in eastern side of the city and fired rounds of rockets on Hamid Karzai International Airport at around midday, causing a suspension to the flights.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=928,,Taliban fighters,on Hamid Karzai International Airport
Taliban militants have stepped up attacks on Afghan security forces and government facilities in recent months.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=931,,Taliban militants,Afghan security forces and government facilities
SLM/A and GoS were guilty of violating the Ceasefire Agreement in Sudan.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=934,,SLM/A,GoS
"Islamic State militants held around 20,000 civilians as human shields in Raqqa.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=988,,Islamic State militants,"around 20,000 civilians"
"Syrian regime air strikes and artillery fire hit the rebel-held enclave of Eastern Ghouta for a sixth straight day killing 32 civilians, as the world struggled to reach a deal to stop the carnage.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=989,,Syrian regime air strikes and artillery fire,rebel-held enclave of Eastern Ghouta
The US military struck Iran-backed militia groups last January in areas in Iraq and Syria along that border area in what US officials then said was a response to escalating provocations from Iran.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=997,,US military,Iran-backed militia groups
"The U.S. military has carried out more than two dozen air strikes this year against al-Shabab, an al-Qaeda-affiliated group seeking to overthrow the Somali government and turn the country into a strict Islamist state.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=1003,,U.S. military,al-Shabab
"The Taliban stormed a police headquarters in eastern Afghanistan on Sunday after striking it with two suicide car bombs, killing at several police officers, officials said.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=1004,,Taliban,police headquarters in eastern Afghanistan
ISIS carried out a multi-pronged attack on Iran's parliament and the shrine of revolutionary leader Ruhollah Khomeini in June 2017 that killed 17 people.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=1007,,ISIS,Iran's parliament and the shrine of revolutionary leader Ruhollah Khomeini
"Somalia's Islamist group al Shabaab on Sunday attacked a military base in Lamu county in Kenya that is used by both US and Kenyan forces, a source and al Shabaab said.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=1024,,Somalia's Islamist group al Shabaab,military base in Lamu county in Kenya
"The Iraqi military has carried out several air strikes against Islamic State in Syria since last year, the last of which a few days ago, with the approval of President Bashar al-Assad and the U.S.-led coalition.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=1026,,Iraqi military,Islamic State in Syria
Iraqi military says it has seized large Kurdish oil fields near Kirkuk.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=1029,,Iraqi military,large Kurdish oil fields
The United Nations imposed various sanctions in relation to Iraq in 1990 in response to its invasion of Kuwait.,COERCE,PLOVER event record.|PLV|split=train|sentence_id=1,,United Nations,Iraq
"Authorities in Pakistan have imposed a curfew in parts of North West Frontier Province, where military forces are battling militants loyal to a pro-Taliban cleric.",COERCE,PLOVER event record.|PLV|split=train|sentence_id=6,,Authorities in Pakistan,in parts of North West Frontier Province
"REUTERS/Muhammad Hamed/File Photo Iraqi Special Operations Forces arrest a person suspected of belonging to Islamic State militants in western Mosul, Iraq, February 26, 2017.",COERCE,PLOVER event record.|PLV|split=train|sentence_id=42,,Iraqi Special Operations Forces,person suspected of belonging to Islamic State militants
"China has imposed sanctions on Mike Pompeo, Alex Azar, and Steve Bannon, along with more than 2 dozen other former Trump officials.",COERCE,PLOVER event record.|PLV|split=train|sentence_id=47,,China,"Mike Pompeo, Alex Azar, and Steve Bannon, along with more than 2 dozen other former Trump officials"
The Nigerian Army has arrested a top Boko Haram commanders specialised in driving vehicles mounted with anti-aircraft guns.,COERCE,PLOVER event record.|PLV|split=train|sentence_id=56,,Nigerian Army,top Boko Haram commanders
"Estonia, a small but strong country in Northern Europe, has launched cyber warfare against Krugman.",COERCE,PLOVER event record.|PLV|split=train|sentence_id=59,,Estonia,Krugman
The jornalist Moussa Tchangari was arrested on Monday in Niger for collaborating with Boko Haram Islamists earlier this week.,COERCE,PLOVER event record.|PLV|split=train|sentence_id=69,,Niger,jornalist Moussa Tchangari
"Venezuela has banned opposition leader Juan Guaido from holding public officer for a period of 15 years, according to Reuters, citing state comptroller Elvis Amoroso.",COERCE,PLOVER event record.|PLV|split=train|sentence_id=74,,Venezuela,opposition leader Juan Guaido
"The Iraqi Supreme Judicial Council issued an official order to the Erbil Appeals Court on April 8 to implement an arrest warrant for the former governor of Ninevah province, Nawfal al-Akoub.",COERCE,PLOVER event record.|PLV|split=train|sentence_id=76,,Iraqi Supreme Judicial Council,"former governor of Ninevah province, Nawfal al-Akoub"
